"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Ο λογαριασμός έχει ήδη ένα ψευδώνυμο",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Account and Sync Settings",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Ο λογαριασμός έχει διαγραφή",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Ο λογαριασμός έχει απενεργοποιηθεί",
"AccountAndSyncSettings.apk","user_id","Account ID","ID λογαριασμού",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Ρυθμίσεις λογαριασμών",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Ρυθμίσεις Λογαριασμών & συγχρονισμού",
"AccountAndSyncSettings.apk","add_account_label","Add account","Προσθήκη λογαριασμού",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Προσθήκη λογαριασμού",
"AccountAndSyncSettings.apk","has_bound","Already exists","Υπάρχει ήδη",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Ρυθμίσεις συγχρονισμού εφαρμογών",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Οι εφαρμογές μπορούν να συγχρονίσουν, να στείλουν, και να λάβουν δεδομένα οποιαδήποτε στιγμή",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Αυτόματος συγχρονισμός δεδομένων εφαρμογών",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Προσοχή",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Η ταυτοποίηση απέτυχε, λάθος όνομα χρήστη ή κωδικός πρόσβασης",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Αυτόματος συγχρονισμός",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Αντίγραφο ασφαλείας ρυθμίσεων",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Αντίγραφο ασφαλείας ρυθμίσεων",
"AccountAndSyncSettings.apk","background_data","Background data","Δεδομένα παρασκηνίου",
"AccountAndSyncSettings.apk","bad_token","Bad token","Bad token",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Bind E-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Bind E-mail address",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Ψευδώνυμο",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Bind phone",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Bind phone number",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Ημερολόγιο",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Ακύρωση συγχρονισμού",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Ο χειροκίνητος συγχρονισμός είναι αδύνατος",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Αλλαγή κωδικού",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Επαφές",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Δεδομένα & συγχρονισμός",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default accounts","Προεπιλεγμένοι λογαριασμοί",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Έχει επιτευχθεί το όριο διαγραφών",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Διαγραφή αντικειμένων.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk sync","Disable MiTalk sync",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Η απενεργοποίηση δεδομένων παρασκηνίου επιμηκύνει τη ζωή της μπαταρίας και ελαττώνει την χρήση δεδομένων. Μερικές εφαρμογές παρολαυτά μπορεί να κάνουν χρήση δεδομένων.",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Καμιά ενέργεια προς το παρόν.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Θέλετε σίγουρα να αφαιρέσετε αυτό το λογαριασμό; Με την αφαίρεση θα διαγραφούν μηνύματα, επαφές και άλλα δεδομένα απο το τηλέφωνο. \nΣυνέχει;",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_format_error","E-mail address contains invalid characters","Η διεύθυνση E-mail περιέχει εσφαλμένους χαρακτήρες",
