"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Account already has a nickname",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Account and Sync Settings",
"AccountAndSyncSettings.apk","account_deleted","Account deleted","Account deleted",
"AccountAndSyncSettings.apk","account_disabled","Account has been banned","Account has been banned",
"AccountAndSyncSettings.apk","user_id","Account ID","Account ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Account settings",
"AccountAndSyncSettings.apk","sync_settings","Accounts & Sync Settings","Accounts & Sync Settings",
"AccountAndSyncSettings.apk","add_account_label","Add account","Add account",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Add an account",
"AccountAndSyncSettings.apk","has_bound","Already exists","Already exists",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Application sync settings",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Applications can sync, send, and receive data at any time",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Applications sync data automatically",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Attention",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Auto-sync",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Back up my settings",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Back up settings",
"AccountAndSyncSettings.apk","background_data","Background data","Background data",
"AccountAndSyncSettings.apk","bind_dialog_button","Bind","Bind",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind e-mail","Bind e-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Bind E-mail address",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Bind nickname",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Bind phone number",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Binding phone","Binding phone",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Calendar",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Cancel sync",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Cannot manually sync",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Change password",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Contacts",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Data & synchronization",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default account","Default account",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Delete limit exceeded",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Delete the items.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk synchronization","Disable MiTalk synchronization",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Do nothing for now.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","E-mail address for login and account recovery",
"AccountAndSyncSettings.apk","user_email_format_error","Email address format is incorrect","Email address format is incorrect",
"AccountAndSyncSettings.apk","email_not_verified","Email has not been verified","Email has not been verified",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Finish",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","General sync settings",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Input your E-mail address here",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Input your nickname here",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Input your phone number here",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Log off",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Log off account",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Manage accounts",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?",
"AccountAndSyncSettings.apk","terms_not_agreed","Must agree to the terms of MIUI","Must agree to the terms of MIUI",
"AccountAndSyncSettings.apk","user_detail","My Card","My Card",
"AccountAndSyncSettings.apk","network_error","Network connection error","Network connection error",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Nickname",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Nickname already exists",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Nickname will be used for various Xiaomi services",
"AccountAndSyncSettings.apk","user_phone","Phone","Phone",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Phone number for login and account recovery",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number format is incorrect","Phone number format is incorrect",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Push subscriptions",
"AccountAndSyncSettings.apk","bad_verification","Registration information format error","Registration information format error",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Remove account",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Remove Xiaomi account",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?",
"AccountAndSyncSettings.apk","sending_bind_request","Sending request","Sending request",
"AccountAndSyncSettings.apk","service_disabled","Service has been stopped","Service has been stopped",
"AccountAndSyncSettings.apk","service_unavailable","Service unavailable","Service unavailable",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","Sync %s",
"AccountAndSyncSettings.apk","sync_error","Sync error","Sync error",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","Sync is currently experiencing problems. It will be back shortly.",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Sync is OFF",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Sync is ON",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Sync now",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Synchronizing","Synchronizing",
