"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname",""L'account ha già un nickname"",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Impostazioni Account e Sync",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Account cancellato",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Account disabilitato",
"AccountAndSyncSettings.apk","user_id","Account ID","ID Account",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Impostazioni account",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Impostazioni Account e Sync",
"AccountAndSyncSettings.apk","add_account_label","Add account","Aggiungi account",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Aggiungi account",
"AccountAndSyncSettings.apk","has_bound","Already exists","Già esistente",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Impostazioni sync applicazione",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Le applicazioni possono sincronizzarsi, inviare e ricevere dati ogni volta",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Le applicazioni sincronizzano i dati automaticamente",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Attenzione",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Autenticazione fallita, username o password non valide",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Auto-sync",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Esegui il backup delle impostazioni",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Backup impostazioni",
"AccountAndSyncSettings.apk","background_data","Background data","Dati in background",
"AccountAndSyncSettings.apk","bad_token","Bad token","Elemento non valido",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Associa E-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Associa indirizzo E-mail",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Associa nickname",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Associa telefono",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Associa telefono",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Calendario",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Cancella sync",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Impossibile sync manuale",
