"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Hesap zaten bir takma ad",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Hesap ve Eşitleme Ayarları",
"AccountAndSyncSettings.apk","account_deleted","Account deleted","Hesap silindi",
"AccountAndSyncSettings.apk","account_disabled","Account has been banned","Hesap yasaklandı.",
"AccountAndSyncSettings.apk","user_id","Account ID","Hesap kimliği",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Hesap ayarları",
"AccountAndSyncSettings.apk","sync_settings","Accounts & Sync Settings","Hesap ve Eşitleme Ayarları",
"AccountAndSyncSettings.apk","add_account_label","Add account","Hesap ekle",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Hesap ekle",
"AccountAndSyncSettings.apk","has_bound","Already exists","Zaten var",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Uygulama eşitleme ayarları",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Uygulamalar eşitleme yapabilir bilgi alıp gönderebilir",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Uygulama verileri otomatik eşitlenir",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Dikkat",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Oto-Eşitleme",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Ayarlarımı yedekle",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Yedekleme ayarları",
"AccountAndSyncSettings.apk","background_data","Background data","Arkaplan verisi",
"AccountAndSyncSettings.apk","bind_dialog_button","Bind","Kabul et",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind e-mail","E-posta ilişkilendir",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","E-posta adresini bağla",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Takma ad ilişkilendir",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Telefon numarası ilişkilendir",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Binding phone","Telefonu bağla",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Takvim",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Eşitlemeyi iptal et",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Manuel olarak eşitlenemiyor",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Şifreyi değiştir",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Kişiler",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Veri ve Eşitleme",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default account","Varsayılan Hesaplar",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Silme limiti aşıldı",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Öğeleri sil.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk synchronization","Eşitlemeyi devredışı bırak",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Arkaplan veri iletişimini kısıtlamak pil ömrünü uzatır ve kullanılan veri miktarını azaltır. Ancak bazı uygulamalar arkaplan veri bağlantısını kullanmaya devam edebilir.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?","M-Chat ile arkadaşlarınıza ulaşamayacaksınız, devam etmek istiyor musunuz?",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Şimdilik birşey yapma.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Hesabı gerçekten kaldırmak istiyor musunuz? Hesabı kaldırmak, hesapla alakalı tüm mesajlar, kişiler ve diğer bilgileri telefondan siler.\nDevam?",
"AccountAndSyncSettings.apk","user_email","Email","E-posta",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Giriş ve hesap kurtarma için e-posta adresi",
"AccountAndSyncSettings.apk","user_email_format_error","Email address format is incorrect","Lütfen geçerli bir E-posta adresi girin",
"AccountAndSyncSettings.apk","email_not_verified","Email has not been verified","E-posta henüz doğrulanmadı",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Bitir",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Genel eşitleme ayarları",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","E-posta adresinizi buraya girin",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Takma adınızı girin",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Telefon numaranızı buraya girin",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Çıkış",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Hesabı kaldır",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Hesapları yönet",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?","Sistem hesabını kullanarak sohbet etmek için tutarsız verilerin temizlenmesi gerekiyor. Devam edilsin ve eşitlensin mi?",
"AccountAndSyncSettings.apk","terms_not_agreed","Must agree to the terms of MIUI","MIUI kullanım şartlarını kabul etmelisiniz",
"AccountAndSyncSettings.apk","user_detail","My Card","Benim kartım",
"AccountAndSyncSettings.apk","network_error","Network connection error","Ağa bağlanma hatası",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Takma ad",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Kullanıcı adı zaten var.",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Takma ad çeşitli Xiaomi servislerinde kullanılacaktır",
"AccountAndSyncSettings.apk","user_phone","Phone","Telefon",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Giriş ve hesap kurtarma için telefon numarası",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number format is incorrect","Geçersiz telefon numarası",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Üyelikler",
"AccountAndSyncSettings.apk","bad_verification","Registration information format error","Kayıt bilgileri eşleşmiyor",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Hesabı kaldır",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Millet hesabını kaldır",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Bu hesabı silmek Millet hizmeti verilerini kaldıracak, bunlar Supermarket, M talk vs. (Kişiler, SMS ve çağrı kayıtları duracak.) Emin misiniz?",
"AccountAndSyncSettings.apk","sending_bind_request","Sending request","İstek gönderiliyor",
"AccountAndSyncSettings.apk","service_disabled","Service has been stopped","Hizmet durduruldu",
"AccountAndSyncSettings.apk","service_unavailable","Service unavailable","Hizmet kullanılamıyor",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","Eşitle %s",
"AccountAndSyncSettings.apk","sync_error","Sync error","Eşitleme hatası",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Bu uygulamanın eşitlemesi devre dışı. Etikinleştirmek için arkaplan veri hizmetlerini ve otomatik eşitlemeyi etkinleştirmelisiniz.",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","Eşitlemede şuan sorun var. Kısa sürede geri dönecek.",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Eşitleme kapalı",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Eşitleme AÇIK",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Şimdi eşitle",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Synchronizing","Eşitlemeye izin ver",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","Synchronous MiTalk","MiTalk\'u senkronize et",
"AccountAndSyncSettings.apk","sync_too_many_deletes_desc","There are %1$d deleted items for %2$s, account %3$s. What would you like to do?","%3$s hesabında %2$s için %1$d silinmiş öğeler bulunuyor. Ne yapmak istersiniz?",
"AccountAndSyncSettings.apk","remove_account_failed","This account is required by some applications. You can only remove it by resetting the phone to factory defaults (which deletes all your personal data). You do that in the Settings application, under Privacy.","Bu hesap bazı uygulamaların işlevselliği için gerekli. Sadece telefonu fabrika ayarlarına döndürerek kaldırabilirsiniz (bütün kişisel verileriniz silinir). Ayarlar uygulamasında, Gizlilik adımından yapabilirsiniz.",
