"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Account already has a nickname",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Indstillinger for Konto og Synkronisering",
"AccountAndSyncSettings.apk","account_deleted","Account deleted","Konto slettet",
"AccountAndSyncSettings.apk","account_disabled","Account has been banned","Konto deaktiveret",
"AccountAndSyncSettings.apk","user_id","Account ID","Konto ID",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Kontoindstillinger",
"AccountAndSyncSettings.apk","sync_settings","Accounts & Sync Settings","Konto & Synk indstillinger",
"AccountAndSyncSettings.apk","add_account_label","Add account","Tilføj konto",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Tilføj en konto",
"AccountAndSyncSettings.apk","has_bound","Already exists","Already exists",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Synkroniseringsindstillinger for Applikation",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Applikationer kan synkronisere, sende og modtage data på ethvert tidspunkt",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Applikationer synkroniserer data automatisk",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Bemærk",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Auto-synkroniser",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Gem mine indstillinger",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Gem indstillinger",
"AccountAndSyncSettings.apk","background_data","Background data","Baggrundsdata",
"AccountAndSyncSettings.apk","bind_dialog_button","Bind","Tilknyt",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind e-mail","Tilknyt email",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Tilknyt email adresse",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Tilknyt Kaldenavn",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Tilknyt telefonnummer",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Binding phone","Tilknytter telefon",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","Kalender",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Afbryd synkronisering",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Kan ikke synkronisere manuelt",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Ændre kodeord",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","Kontakter",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Data & synkronisering",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default account","Standard konto",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Slette grænse nået",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Slette elementerne.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk synchronization","Deaktiver MiTalk synkroniseringen",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Deaktivering af baggrundsdata forlænger batteriets levetid og begrænser data forbruget. Nogle applikationer vil dog stadig benytte baggrundsdataforbindelsen.",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_message","Disabling MiTalk will mean not to be able to chat directly and sync MiTalk contacts, confirm you want to close the chat and contacts synchronization?","Deaktivering af MiTalk vil betyde udelukkelse af chat og synkronisering af MiTalk kontakter, bekræft at du vil deaktivere?",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Gør intet.",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Vil du virkelig fjerne denne konto? Fjernelse vil også slette dens beskeder, kontakter og andre data fra telefonen. \nProceed?",
"AccountAndSyncSettings.apk","user_email","Email","Email",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Email address for login and account recovery",
"AccountAndSyncSettings.apk","user_email_format_error","Email address format is incorrect","Email adresse format i forkert format",
"AccountAndSyncSettings.apk","email_not_verified","Email has not been verified","Email ikke verificeret",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Afslut",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Generelle indstillinger for synkronisering",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Indtast email adresse her",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Indtast dit kaldenavn her",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Indtast telefonnummer her",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Log af",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Fjern konto",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Håndter Konti",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_message","MiTalk account and the current system account are conflicting, the data will be cleared and use MiTalk as default. Synchronize MiTalk?","MiTalk konto og den nuværende system konto stemmer ikke overens, data vil blive ryddet og MiTalk vil blive brugt som standard. Synkroniser MiTalk?",
"AccountAndSyncSettings.apk","terms_not_agreed","Must agree to the terms of MIUI","Du skal acceptere MIUI vilkårene",
"AccountAndSyncSettings.apk","user_detail","My Card","Mine oplysninger",
"AccountAndSyncSettings.apk","network_error","Network connection error","Netværksfejl",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Kaldenavn",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Nickname already exists",
