"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","has_nick","Account already has a nickname","Учетная запись имеет имя",
"AccountAndSyncSettings.apk","app_label","Account and Sync Settings","Аккаунт и настройки синхронизации",
"AccountAndSyncSettings.apk","account_deleted","Account has been deleted","Учетная запись была удалена",
"AccountAndSyncSettings.apk","account_disabled","Account has been disabled","Запрещена учетная запись",
"AccountAndSyncSettings.apk","user_id","Account ID","ID учетной записи",
"AccountAndSyncSettings.apk","header_account_settings","Account settings","Настройки аккаунта",
"AccountAndSyncSettings.apk","sync_settings","Accounts & sync settings","Аккаунты и настройки синхронизации",
"AccountAndSyncSettings.apk","add_account_label","Add account","Добавить аккаунт",
"AccountAndSyncSettings.apk","header_add_an_account","Add an account","Добавить в аккаунт",
"AccountAndSyncSettings.apk","has_bound","Already exists","Уже существует",
"AccountAndSyncSettings.apk","header_application_sync_settings","Application sync settings","Приложение настройки синхронизации",
"AccountAndSyncSettings.apk","background_data_summary","Applications can sync, send, and receive data at any time","Приложения могут синхронизировать, передавать и получать данные в любое время",
"AccountAndSyncSettings.apk","sync_automatically_summary","Applications sync data automatically","Приложения синхронизируют данные автоматически",
"AccountAndSyncSettings.apk","background_data_dialog_title","Attention","Внимание",
"AccountAndSyncSettings.apk","bad_authentication","Authentication failed, bad username or password supplied","Имя пользователя и пароль не совпадают",
"AccountAndSyncSettings.apk","sync_automatically","Auto-sync","Автосинхронизация",
"AccountAndSyncSettings.apk","settings_backup_summary","Back up my settings","Сохранить мои настройки",
"AccountAndSyncSettings.apk","settings_backup","Back up settings","Сохранение настроек",
"AccountAndSyncSettings.apk","background_data","Background data","Фоновые данные",
"AccountAndSyncSettings.apk","bad_token","Bad token","Ошибка",
"AccountAndSyncSettings.apk","bind_email_dialog_title","Bind E-mail","Привязка по E-mail",
"AccountAndSyncSettings.apk","user_email_title","Bind E-mail address","Привязать адрес электронной почты",
"AccountAndSyncSettings.apk","user_nickname_title","Bind nickname","Привязка ника",
"AccountAndSyncSettings.apk","bind_phone_dialog_title","Bind phone","Привязка по номеру телефона",
"AccountAndSyncSettings.apk","user_phone_title","Bind phone number","Привязать номер телефона",
"AccountAndSyncSettings.apk","sync_calendar","Calendar","календарь",
"AccountAndSyncSettings.apk","sync_menu_sync_cancel","Cancel sync","Отменить синхронизацию",
"AccountAndSyncSettings.apk","cant_sync_dialog_title","Cannot manually sync","Ручная синхронизация недоступна!",
"AccountAndSyncSettings.apk","preference_change_password_title","Change password","Смена пароля",
"AccountAndSyncSettings.apk","sync_contacts","Contacts","контакты",
"AccountAndSyncSettings.apk","header_data_and_synchronization","Data & synchronization","Данные и синхронизация",
"AccountAndSyncSettings.apk","header_manage_default_accounts","Default accounts","Управление основным аккаунтом",
"AccountAndSyncSettings.apk","sync_too_many_deletes","Delete limit exceeded","Превышен лимит удаляемых",
"AccountAndSyncSettings.apk","sync_really_delete","Delete the items.","Удалить элемент",
"AccountAndSyncSettings.apk","disable_mitalk_dialog_title","Disable MiTalk sync","Отменить синхронизацию",
"AccountAndSyncSettings.apk","background_data_dialog_message","Disabling background data extends battery life and lowers data use. Some applications may still use the background data connection.","Отключение фоновых данных продлевает срок службы батареи и снижает использование данных. Некоторые приложения могут по-прежнему использовать фоновую передачу данных.",
"AccountAndSyncSettings.apk","sync_do_nothing","Do nothing for now.","Сейчас ничего не делать",
"AccountAndSyncSettings.apk","really_remove_account_message","Do you really want to log off this account? Logging off will also delete all of its messages, contacts, and other data from the phone. \nProceed?","Вы действительно хотите удалить этот аккаунт? Удаление аккаунта повлечёт удаление всех его сообщений, контактов и других данных с телефона. \n Продолжить?",
"AccountAndSyncSettings.apk","user_email","Email","E-mail",
"AccountAndSyncSettings.apk","user_email_description","E-mail address for login and account recovery","Адрес электронной почты для восстановления логина и пароля",
"AccountAndSyncSettings.apk","email_not_verified","E-mail unverified","Электронная почта не прошла проверку подлинности",
"AccountAndSyncSettings.apk","enable_mitalk_dialog_title","Enable MiTalk sync","Синхронизировать",
"AccountAndSyncSettings.apk","finish_button_label","Finish","Закончить",
"AccountAndSyncSettings.apk","header_general_sync_settings","General sync settings","Основные настройки синхронизации",
"AccountAndSyncSettings.apk","sync_gmail","Gmail","Gmail",
"AccountAndSyncSettings.apk","user_email_hint","Input your E-mail address here","Введите ваш адрес электронной почты",
"AccountAndSyncSettings.apk","user_nickname_hint","Input your nickname here","Введите Ваш ник",
"AccountAndSyncSettings.apk","user_phone_hint","Input your phone number here","Введите свой номер телефона",
"AccountAndSyncSettings.apk","logoff_account_label","Log off","Выйти",
"AccountAndSyncSettings.apk","really_remove_account_title","Log off account","Удалить аккаунт?",
"AccountAndSyncSettings.apk","header_manage_accounts","Manage accounts","Управление аккаунтами",
"AccountAndSyncSettings.apk","user_mitalk_sync_title","MiTalk","Синхронизация Mi-talk",
"AccountAndSyncSettings.apk","user_mitalk_sync_summary","MiTalk allows you to send messages, pictures and chat with friends","Использовать текущую учётную запись для входа в Mi-talk, синхронизации контактов Mi-talk, бесплатного голосового чата, обмена фотографиями.",
"AccountAndSyncSettings.apk","user_detail","My Card","Моя карточка",
"AccountAndSyncSettings.apk","network_error","Network connection error","Ошибка сетевого подключения",
"AccountAndSyncSettings.apk","user_nickname","Nickname","Ник",
"AccountAndSyncSettings.apk","nickname_exist","Nickname already exists","Имя уже существует",
"AccountAndSyncSettings.apk","user_nickname_description","Nickname will be used for various Xiaomi services","Ник будет использоваться для различных служб Xiaomi",
"AccountAndSyncSettings.apk","bind_dialog_button","OK","Привязка",
"AccountAndSyncSettings.apk","user_phone","Phone","Телефон",
"AccountAndSyncSettings.apk","user_phone_format_error","Phone number contains invalid characters","Неправильный формат номера",
"AccountAndSyncSettings.apk","user_phone_description","Phone number for login and account recovery","Номер телефона для восстановления логина и пароля",
"AccountAndSyncSettings.apk","provider_label","Push subscriptions","Продвижение подписки",
"AccountAndSyncSettings.apk","remove_account_label","Remove account","Удалить",
"AccountAndSyncSettings.apk","xiaomi_remove_account_title","Remove Xiaomi account","Удаление учетной записи",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Удаление этой учетной записи также удалит в мобильныом телефоне данные таких приложений как: Супермаркет, Mi-talk (контакты, текстовые сообщения, историю вызовов, и т.д.) и не возможно будет пользоваться онлайн сервисами MIUI",
"AccountAndSyncSettings.apk","sending_bind_request","Request has been sent","Отправка запроса",
"AccountAndSyncSettings.apk","service_unavailable","Service currently unavailable","Услуга не предоставляется",
"AccountAndSyncSettings.apk","service_disabled","Service has been disabled","Служба остановлена",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","Синхрониз. %s",
"AccountAndSyncSettings.apk","sync_error","Sync error","Ошибка синхронизации",
